"galaxy","attempted_status","partial_branch_status","partial_failure_stage","partial_failure_reason","partial_N_valid_points","spectral_branch_status","spectral_failure_reason","spectral_N_valid_points","final_chain_label"
"NGC5371","ATTEMPTED","COMPLETED","","","19","VALID","","19.0","SPECTRAL_VALID_76"
"NGC5585","ATTEMPTED","COMPLETED","","","24","VALID","","24.0","SPECTRAL_VALID_76"
"NGC5907","ATTEMPTED","COMPLETED","","","19","VALID","","19.0","SPECTRAL_VALID_76"
"NGC5985","ATTEMPTED","COMPLETED","","","33","VALID","","33.0","SPECTRAL_VALID_76"
"NGC6015","ATTEMPTED","COMPLETED","","","44","VALID","","44.0","SPECTRAL_VALID_76"
"NGC6195","ATTEMPTED","COMPLETED","","","23","VALID","","23.0","SPECTRAL_VALID_76"
"NGC6503","ATTEMPTED","COMPLETED","","","31","VALID","","31.0","SPECTRAL_VALID_76"
"NGC6674","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"NGC6789","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","4","NOT_REACHED","","","175_TO_134_EXCLUDED"
"NGC6946","ATTEMPTED","COMPLETED","","","58","VALID","","58.0","SPECTRAL_VALID_76"
"NGC7331","ATTEMPTED","COMPLETED","","","36","VALID","","36.0","SPECTRAL_VALID_76"
"NGC7793","ATTEMPTED","COMPLETED","","","46","VALID","","46.0","SPECTRAL_VALID_76"
"NGC7814","ATTEMPTED","COMPLETED","","","18","VALID","","18.0","SPECTRAL_VALID_76"
"PGC51017","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC00128","ATTEMPTED","COMPLETED","","","22","VALID","","22.0","SPECTRAL_VALID_76"
"UGC00191","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"UGC00634","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","4","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC00731","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"UGC00891","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC01230","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC01281","ATTEMPTED","COMPLETED","","","25","VALID","","25.0","SPECTRAL_VALID_76"
"UGC02023","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC02259","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC02455","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC02487","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"UGC02885","ATTEMPTED","COMPLETED","","","19","VALID","","19.0","SPECTRAL_VALID_76"
"UGC02916","ATTEMPTED","COMPLETED","","","43","VALID","","43.0","SPECTRAL_VALID_76"
"UGC02953","ATTEMPTED","COMPLETED","","","115","VALID","","115.0","SPECTRAL_VALID_76"
"UGC03205","ATTEMPTED","COMPLETED","","","48","VALID","","48.0","SPECTRAL_VALID_76"
"UGC03546","ATTEMPTED","COMPLETED","","","30","VALID","","30.0","SPECTRAL_VALID_76"
"UGC03580","ATTEMPTED","COMPLETED","","","47","VALID","","47.0","SPECTRAL_VALID_76"
"UGC04278","ATTEMPTED","COMPLETED","","","25","VALID","","25.0","SPECTRAL_VALID_76"
"UGC04305","ATTEMPTED","COMPLETED","","","22","VALID","","22.0","SPECTRAL_VALID_76"
"UGC04325","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC04483","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC04499","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","9","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC05005","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","11","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC05253","ATTEMPTED","COMPLETED","","","73","VALID","","73.0","SPECTRAL_VALID_76"
"UGC05414","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC05716","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"UGC05721","ATTEMPTED","COMPLETED","","","23","VALID","","23.0","SPECTRAL_VALID_76"
"UGC05750","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC05764","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC05829","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC05918","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC05986","ATTEMPTED","COMPLETED","","","15","EXCLUDED","fewer than 16 radial points after reconstruction","15.0","134_TO_76_EXCLUDED"
"UGC05999","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","5","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC06399","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","9","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC06446","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"UGC06614","ATTEMPTED","COMPLETED","","","13","EXCLUDED","fewer than 16 radial points after reconstruction","13.0","134_TO_76_EXCLUDED"
"UGC06628","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC06667","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"UGC06786","ATTEMPTED","COMPLETED","","","45","VALID","","45.0","SPECTRAL_VALID_76"
"UGC06787","ATTEMPTED","COMPLETED","","","71","VALID","","71.0","SPECTRAL_VALID_76"
"UGC06818","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC06917","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC06923","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","6","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC06930","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC06973","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"UGC06983","ATTEMPTED","COMPLETED","","","17","VALID","","17.0","SPECTRAL_VALID_76"
"UGC07089","ATTEMPTED","COMPLETED","","","12","EXCLUDED","fewer than 16 radial points after reconstruction","12.0","134_TO_76_EXCLUDED"
"UGC07125","ATTEMPTED","COMPLETED","","","13","EXCLUDED","fewer than 16 radial points after reconstruction","13.0","134_TO_76_EXCLUDED"
"UGC07151","ATTEMPTED","COMPLETED","","","11","EXCLUDED","fewer than 16 radial points after reconstruction","11.0","134_TO_76_EXCLUDED"
"UGC07232","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","4","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07261","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07323","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC07399","ATTEMPTED","COMPLETED","","","10","EXCLUDED","fewer than 16 radial points after reconstruction","10.0","134_TO_76_EXCLUDED"
"UGC07524","ATTEMPTED","COMPLETED","","","31","VALID","","31.0","SPECTRAL_VALID_76"
"UGC07559","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07577","ATTEMPTED","COMPLETED","","","9","EXCLUDED","fewer than 16 radial points after reconstruction","9.0","134_TO_76_EXCLUDED"
"UGC07603","ATTEMPTED","EXCLUDED","FAIL_PARTIAL_CORRELATION","partial Spearman returned non-finite value","12","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07608","ATTEMPTED","COMPLETED","","","8","EXCLUDED","fewer than 16 radial points after reconstruction","8.0","134_TO_76_EXCLUDED"
"UGC07690","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
"UGC07866","ATTEMPTED","EXCLUDED","FAIL_RECONSTRUCTION","insufficient valid radii before reconstruction","7","NOT_REACHED","","","175_TO_134_EXCLUDED"
