galaxy_id,sample_branch,control_tier,n_realizations,n_valid_realizations,observed_statistic,control_median,control_mean,control_std,control_p05,control_p16,control_p84,control_p95,empirical_percentile_observed,empirical_p_two_sided,finite_status,notes
G0004,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.61860726494292462,0.23312097038278623,0.25261794535740884,0.1682846216087838,0.024602258554595406,0.076659362376086893,0.43074217976659301,0.56027498901859385,0.97399999999999998,0.026973026973026972,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0005,partial_rank_134,circular_shift_control_partial_rank,30,30,-0.56526427651121214,0.023739518225314869,0.018790961227448812,0.58455148273939739,-0.8015398761003717,-0.67503587805802656,0.70343086906394547,0.8133929080902621,0.23333333333333334,0.5161290322580645,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0005,partial_rank_134,circular_shift_control_partial_rank_absolute,30,30,0.56526427651121214,0.55665968805976207,0.53193459967136547,0.24310310131535473,0.10237730058202796,0.27221456393395377,0.78960817460923982,0.83002936487863588,0.5,0.5161290322580645,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0005,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.56526427651121214,-0.0025299412425513622,0.0013102908036621468,0.18153993323105519,-0.31247176185952735,-0.17516480706035903,0.17636113655907143,0.29435915135639212,0.001,0.001998001998001998,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0005,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.56526427651121214,0.11837560931054641,0.14427933473029997,0.11019046142615152,0.01066641137823489,0.033280984859393764,0.26059147038550839,0.3519673250515008,0.999,0.001998001998001998,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0005,spectral_control_76,random_phase_surrogate_radial_template,1000,1000,0.75897433277648096,0.75897433277648096,0.75897433277648085,1.4891066787741193e-16,0.75897433277648096,0.75897433277648096,0.75897433277648108,0.75897433277648108,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0005,spectral_control_76,random_phase_surrogate_residual,1000,1000,0.54249759670832232,0.54249759670832232,0.54249759670832254,1.8640509028633514e-16,0.54249759670832232,0.54249759670832232,0.54249759670832243,0.54249759670832254,0.5,1,DEGENERATE_PHASE_BLIND_STATISTIC,Per-galaxy summary; not a pooled p-value
G0005,spectral_control_76,smooth_profile_exponential_reference,1,1,,0.54841116895906106,0.54841116895906106,0,0.54841116895906106,0.54841116895906106,0.54841116895906106,0.54841116895906106,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0005,spectral_control_76,smooth_profile_linear_reference,1,1,,0.55293651198333094,0.55293651198333094,0,0.55293651198333094,0.55293651198333094,0.55293651198333094,0.55293651198333094,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0005,spectral_control_76,smooth_profile_quadratic_reference,1,1,,0.57036991400033354,0.57036991400033354,0,0.57036991400033354,0.57036991400033354,0.57036991400033354,0.57036991400033354,,,FIXED_REFERENCE_NOT_NULL,Fixed reference: percentile and p-value empty
G0006,partial_rank_134,circular_shift_control_partial_rank,9,9,0.3222081791935949,-0.012350385893836075,-0.053243313913703662,0.5592603625947723,-0.74489954519240675,-0.56455055878653049,0.57758293551489615,0.71216734779530277,0.66666666666666663,0.80000000000000004,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0006,partial_rank_134,circular_shift_control_partial_rank_absolute,9,9,0.3222081791935949,0.55083833266034432,0.48713844804696049,0.2798269752553319,0.015825501669362602,0.13752678884921873,0.73679958823587088,0.83465623509704412,0.22222222222222221,0.80000000000000004,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0006,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,0.3222081791935949,-0.0052789414944212406,0.0029359517520992119,0.35475362154043749,-0.59499853157954907,-0.36677110905632021,0.38416229707364463,0.57154231531639954,0.79049999999999998,0.40859140859140858,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0006,partial_rank_134,shuffle_surrogate_partial_rank_absolute,1000,1000,0.3222081791935949,0.26756002483626051,0.29402462311944366,0.19851517022186418,0.024713407292193172,0.077972654381570333,0.52346847367965099,0.66258459930585889,0.59299999999999997,0.40859140859140858,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
G0007,partial_rank_134,circular_shift_control_partial_rank,14,14,-0.6188991867444803,-0.022373861668297877,0.054801194469847422,0.58507812846606599,-0.68733691272476205,-0.56931359580391228,0.78213892838862109,0.84783916445065466,0.14285714285714285,0.46666666666666667,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0007,partial_rank_134,circular_shift_control_partial_rank_absolute,14,14,0.6188991867444803,0.5648055879986511,0.53814963137562821,0.236039322094756,0.14115325166075965,0.26920788102598919,0.78288769341230657,0.84783916445065466,0.5714285714285714,0.46666666666666667,FINITE_EXACT_SHIFT,Per-galaxy summary; not a pooled p-value
G0007,partial_rank_134,shuffle_surrogate_partial_rank,1000,1000,-0.6188991867444803,-0.0068525260345029416,-0.0089795328310244126,0.27157868199487029,-0.43528920877457117,-0.2774186775772291,0.27908785684828497,0.44853152127076168,0.014,0.02097902097902098,FINITE_RANDOM_ENSEMBLE,Per-galaxy summary; not a pooled p-value
