panel,sample_branch,control_tier,value_type,statistic_value,galaxy_id,realization,notes
spectral_controls,spectral_control_76,random_phase_surrogate_residual,control_p95,0.78153153306739154,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_exponential_reference,control_median,0.54841116895906106,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_exponential_reference,control_p05,0.54841116895906106,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_exponential_reference,control_p95,0.54841116895906106,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_linear_reference,control_median,0.55293651198333094,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_linear_reference,control_p05,0.55293651198333094,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_linear_reference,control_p95,0.55293651198333094,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_quadratic_reference,control_median,0.57036991400033354,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_quadratic_reference,control_p05,0.57036991400033354,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
spectral_controls,spectral_control_76,smooth_profile_quadratic_reference,control_p95,0.57036991400033354,G0002,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,observed,-0.2215437674069248,G0003,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_median,0.045640403288532555,G0003,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
partial_rank_controls,partial_rank_134,circular_shift_control_partial_rank,control_p05,-0.6933246339990039,G0003,per_galaxy_summary,Lightweight plot-ready branch-labeled summary
